Title,Description,FileName,Category,UploadDate,Team,FileURL
Bài tập Team Kỹ thuật,Đề bài thực hành tuần 1 cho bộ phận kỹ thuật,bt_ky_thuat.docx,Bài tập các Bộ phận / 부서별 과제,2026-04-29 16:01,Chung,
Training AI_WorkFlow,Kế hoạch đào tạo chung,Training_AIWorkflow_20250428_R00.html,Tài liệu chung / 일반 자료,2026-04-29 16:06,Chung,
Tài liệu đào tạo/ AI 활용 교육자료,Lý thuyết cơ bản về AI,,Lý thuyết / 이론 자료,2026-05-11 10:49,Chung,https://docs.google.com/presentation/d/1gjQy-oeeU050_dhRzhPuL4eaF50dYQXp/edit?usp=sharing&ouid=113455755735127456897&rtpof=true&sd=true
